Category	Description
Daily Total Impressions of your posts	Daily: The number of times that your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more (total count).
Weekly Total impressions of your posts	Weekly: The number of times that your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more (total count).
28 Days Total Impressions of your posts	28 days: The number of times that your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more (total count).
Daily Organic impressions of your posts	Daily: The number of times that your Page's posts entered a person's screen through unpaid distribution (total count).
Weekly Organic impressions of your posts	Weekly: The number of times that your Page's posts entered a person's screen through unpaid distribution (total count).
28 Days Organic impressions of your posts	28 days: The number of times that your Page's posts entered a person's screen through unpaid distribution (total count).
Daily Paid impressions of your posts	Daily: The number of times that your Page's posts entered a person's screen through paid distribution such as an ad (total count).
Weekly Paid impressions of your posts	Weekly: The number of times that your Page's posts entered a person's screen through paid distribution such as an ad (total count).
28 Days Paid impressions of your posts	28 days: The number of times that your Page's posts entered a person's screen through paid distribution such as an ad (total count).
Daily Viral impressions of your posts	Daily: The number of times that your Page's posts entered a person's screen with social information attached. Social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (total count).
Weekly Viral impressions of your posts	Weekly: The number of times that your Page's posts entered a person's screen with social information attached. Social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (total count).
28 Days Viral impressions of your posts	28 days: The number of times that your Page's posts entered a person's screen with social information attached. Social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (total count).
Daily Total Consumers	Daily: Number of people who clicked on any of your content. Stories that are created without clicking on Page content (e.g. liking the Page from Timeline) are not included. (unique users)
Weekly Total Consumers	Weekly: Number of people who clicked on any of your content. Stories that are created without clicking on Page content (e.g. liking the Page from Timeline) are not included. (unique users)
28 Days Total Consumers	28 Days: Number of people who clicked on any of your content. Stories that are created without clicking on Page content (e.g. liking the Page from Timeline) are not included. (unique users)
Daily Page Consumptions	Daily: Number of clicks on any of your content. Stories generated without clicks on Page content (e.g. liking the Page in Timeline) are not included. (total count)
Weekly Page Consumptions	Weekly: Number of clicks on any of your content. Stories generated without clicks on Page content (e.g. liking the Page in Timeline) are not included. (total count)
28 Days Page Consumptions	28 Days: Number of clicks on any of your content. Stories generated without clicks on Page content (e.g. liking the Page in Timeline) are not included. (total count)
Daily Negative Feedback	Daily: Number of people who have given negative feedback on your Page (unique users)
Weekly Negative Feedback	Weekly: Number of people who have given negative feedback on your Page (unique users)
28 Days Negative Feedback	28 Days: Number of people who have given negative feedback on your Page (unique users)
Daily Negative feedback from users	Daily: Number of times people have given negative feedback on your Page (total count)
Weekly Negative feedback from users	Weekly: Number of times people have given negative feedback on your Page (total count)
28 Days Negative feedback from users	28 Days: Number of times people have given negative feedback on your Page (total count)
Daily Total Check-ins	Daily: Total check-ins at your place (total count)
Weekly Total Check-ins	Weekly: Total check-ins at your place (total count)
28 Days Total Check-ins	28 Days: Total check-ins at your place (total count)
Daily Total Check-ins.1	Daily: Total check-ins at your place (unique users)
Weekly Total Check-ins.1	Weekly: Total check-ins at your place (unique users)
28 Days Total Check-ins.1	28 Days: Total check-ins at your place (unique users)
Daily Total check-ins using mobile devices	Daily: Total check-ins at your place using mobile devices (total count)
Weekly Total check-ins using mobile devices	Weekly: Total check-ins at your place using mobile devices (total count)
28 Days Total check-ins using mobile devices	28 Days: Total check-ins at your place using mobile devices (total count)
Daily Total check-ins using mobile devices.1	Daily: Total check-ins at your place using mobile devices (unique users)
Weekly Total check-ins using mobile devices.1	Weekly: Total check-ins at your place using mobile devices (unique users)
28 Days Total check-ins using mobile devices.1	28 Days: Total check-ins at your place using mobile devices (unique users)
Daily Total Organic Views	Daily: Number of times a video has been viewed due to organic reach (Total Count)
Weekly Total Organic Views	Weekly: Number of times a video has been viewed due to organic reach (Total Count)
28 Days Total Organic Views	28 Days: Number of times a video has been viewed due to organic reach (Total Count)
Daily Total Promoted Views	Daily: Number of times a promoted video has been viewed for more than 3 seconds (Total Count)
Weekly Total Promoted Views	Weekly: Number of times a promoted video has been viewed for more than 3 seconds (Total Count)
28 Days Total Promoted Views	28 Days: Number of times a promoted video has been viewed for more than 3 seconds (Total Count)
Daily Total Organic 30-Second Views	Daily: Number of times the video has been viewed for at least 30s by organic reach (Total Count)
Weekly Total Organic 30-Second Views	Weekly: Number of times the video has been viewed for at least 30s by organic reach (Total Count)
28 Days Total Organic 30-Second Views	28 Days: Number of times the video has been viewed for at least 30s by organic reach (Total Count)
Daily Paid 30-second Views	Daily: Number of times Page's video was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion (total count)
Weekly Paid 30-second Views	Weekly: Number of times Page's video was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion (total count)
28 Days Paid 30-second Views	28 Days: Number of times Page's video was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion (total count)
Daily Total Video Views	Daily: Total number of times videos have been viewed for more than 3 seconds. (Total Count)
Weekly Total Video Views	Weekly: Total number of times videos have been viewed for more than 3 seconds. (Total Count)
28 Days Total Video Views	28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count)
Daily Total Auto-Played Views	Daily: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count)
Weekly Total Auto-Played Views	Weekly: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count)
28 Days Total Auto-Played Views	28 Days: Number of times an auto-played video has been viewed for more than 3 seconds (Total Count)
Daily Total Clicked Views	Daily: Number of times a video has been viewed after the user clicked play (Total Count)
Weekly total clicked views	Weekly: Number of times a video has been viewed after the user clicked play (Total Count)
28 Days Total Clicked Views	28 Days: Number of times a video has been viewed after the user clicked play (Total Count)
Daily Video Repeats	Daily: Number of times the video has been seen outside the first play (Total Count)
Weekly Video Repeats	Weekly: Number of times the video has been seen outside the first play (Total Count)
28 Days Video Repeats	28 Days: Number of times the video has been seen outside the first play (Total Count)
Daily Total Unique Video Views	Daily: Metric showing videos played for unique people for more than 3 seconds aggregated at the page level (Unique Users)
Weekly Total Unique Video Views	Weekly: Metric showing video played for unique people for more than 3 seconds aggregated at the Page level (unique users)
28 Days Total Unique Video Views	28 Days: Metric showing video played for unique people for more than 3 seconds aggregated at the Page level (unique users)
Daily Total 30-second Views	Daily: Total number of times page's videos was viewed for at least 30 seconds. (Total Count)
Weekly Total 30-second Views	Weekly: Total number of times page's videos was viewed for at least 30 seconds. (Total Count)
28 Days Total 30-second Views	28 Days: Total number of times page's videos was viewed for at least 30 seconds. (Total Count)
Daily Auto-played 30-second Views	Daily: Number of times your Page's video started automatically playing and people viewed it for 30 seconds or to the end, whichever came first (total count)
Weekly Auto-played 30-second Views	Weekly: Number of times your Page's video started automatically playing and people viewed it for 30 seconds or to the end, whichever came first (total count)
28 Days Auto-played 30-second Views	28 Days: Number of times your Page's video started automatically playing and people viewed it for 30 seconds or to the end, whichever came first (total count)
Daily Total Clicked 30-Second Views	Daily: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count)
Weekly Total Clicked 30-Second Views	Weekly: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count)
28 Days Total Clicked 30-Second Views	28 Days: Number of times a video has been viewed for at least 30s after the user clicked play (Total Count)
Daily Total 30-Second Repeats	Daily: Number of times a video has been viewed for at least 30s outside the first play (Total Count)
Weekly Total 30-Second Repeats	Weekly: Number of times a video has been viewed for at least 30s outside the first play (Total Count)
28 Days Total 30-Second Repeats	28 Days: Number of times a video has been viewed for at least 30s outside the first play (Total Count)
Daily Total Unique 30-second Views	Daily: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users)
Weekly Total Unique 30-second Views	Weekly: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users)
28 Days Total Unique 30-second Views	28 Days: Metric showing videos played for unique people for at least 30 seconds aggregated at the page level (Unique Users)
Daily total: Total action count per Page	Daily: The number of clicks on your Page's contact info and call-to-action button.
Weekly total: Total action count per Page	Weekly: The number of clicks on your Page's contact info and call-to-action button.
Daily Total get direction click count per Page	Daily: Total Get Directions click count per Page
Weekly Total get direction click count per Page	Weekly: Total Get Directions click count per Page
Daily Total get direction click count per Page.1	Daily: Total get direction click count per Page  (Unique Users)
Weekly Total get direction click count per Page.1	Weekly: Total get direction click count per Page (Unique Users)
Daily Total phone calls click count per Page	Daily: Total phone call click count per Page
Weekly Total phone calls click count per Page	Weekly: Total phone call click count per Page
Daily Total phone calls click count per Page.1	Daily: Total phone calls click count per Page (Unique Users)
Weekly Total phone calls click count per Page.1	Weekly: Total phone calls click count per Page (Unique Users)
Daily Total website click count per Page	Daily: Total website click count per Page
Weekly Total website click count per Page	Weekly: Total website click count per Page
Daily Total website click count per Page.1	Daily: Total website click count per Page (unique users)
Weekly Total website click count per Page.1	Weekly: Total website click count per Page (unique users)
